Price,usable_area_sqft,bedroom,Bathroom,bathroom_ratio,balconies,Floor No,floors,floor_ratio,area_price_mean,city_price_mean,amenity_count,luxury_score,Facing,Maintenance Charges,isPrimeLocationProperty_Y
10450000.0,980.0,3,2.0,0.6666666666666666,3.0,9.0,26.0,0.3461538461538461,5983742.342391305,11238531.74308094,90,5,North - East,1600.0,True
12000000.0,927.0,3,3.0,1.0,3.0,18.0,36.0,0.5,5983742.342391305,11238531.74308094,90,5,East,2500.0,True
7000000.0,650.0,2,2.0,1.0,2.0,9.0,23.0,0.391304347826087,5983742.342391305,11238531.74308094,89,5,North - East,2500.0,True
7000000.0,761.0,2,2.0,1.0,2.0,9.0,15.0,0.6,5983742.342391305,11238531.74308094,90,5,North - East,0.0,True
4800000.0,460.0,1,2.0,2.0,1.0,4.0,21.0,0.1904761904761904,5983742.342391305,11238531.74308094,89,5,North - East,4.0,True
9500000.0,661.0,2,2.0,1.0,1.0,20.0,38.0,0.5263157894736842,5983742.342391305,11238531.74308094,90,5,North - West,4500.0,True
7499000.0,709.0,2,2.0,1.0,2.0,18.0,27.0,0.6666666666666666,5983742.342391305,11238531.74308094,90,5,North - East,0.0,True
4500000.0,450.0,1,2.0,2.0,3.0,5.0,21.0,0.238095238095238,5983742.342391305,11238531.74308094,89,5,East,2200.0,True
4300000.0,367.0,1,2.0,2.0,2.0,18.0,33.0,0.5454545454545454,5983742.342391305,11238531.74308094,90,5,East,0.0,True
3950000.0,390.0,1,2.0,2.0,1.0,11.0,29.0,0.3793103448275862,5983742.342391305,11238531.74308094,10,0,East,1200.0,True
3600000.0,467.0,1,2.0,2.0,2.0,21.0,30.0,0.7,5983742.342391305,11238531.74308094,90,5,North - East,2500.0,True
3580000.0,460.0,1,1.0,1.0,2.0,5.0,7.0,0.7142857142857143,5983742.342391305,11238531.74308094,89,5,East,1000.0,True
14796000.0,1385.0,3,3.0,1.0,4.0,7.0,36.0,0.1944444444444444,5983742.342391305,11238531.74308094,89,5,East,7000.0,True
4300000.0,505.0,2,2.0,1.0,2.0,3.0,14.0,0.2142857142857142,5983742.342391305,11238531.74308094,90,5,East,3.0,True
4185500.0,384.0,1,2.0,2.0,2.0,10.0,23.0,0.4347826086956521,5983742.342391305,11238531.74308094,90,5,East,3.0,True
5000000.0,711.0,1,2.0,2.0,2.0,12.0,21.0,0.5714285714285714,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
9500000.0,675.0,2,2.0,1.0,2.0,9.0,21.0,0.4285714285714285,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
6000000.0,600.0,2,2.0,1.0,2.0,7.0,7.0,1.0,5983742.342391305,11238531.74308094,5,0,South - East,2500.0,False
4000000.0,580.0,1,1.0,1.0,2.0,4.0,15.0,0.2666666666666666,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
4300000.0,615.0,1,1.0,1.0,2.0,6.0,7.0,0.8571428571428571,5983742.342391305,11238531.74308094,5,0,East,2500.0,False
3500000.0,445.0,1,1.0,1.0,2.0,2.0,6.0,0.3333333333333333,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
4100000.0,671.0,1,1.0,1.0,2.0,1.0,7.0,0.1428571428571428,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
9000000.0,1085.0,2,2.0,1.0,2.0,20.0,32.0,0.625,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
8200000.0,633.0,1,2.0,2.0,1.0,11.0,25.0,0.44,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
4500000.0,545.0,1,2.0,2.0,2.0,5.0,8.0,0.625,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
5600000.0,805.0,2,2.0,1.0,2.0,4.0,7.0,0.5714285714285714,5983742.342391305,11238531.74308094,0,0,East,2087.0,False
2800000.0,392.0,1,1.0,1.0,2.0,2.0,4.0,0.5,5983742.342391305,11238531.74308094,0,0,East,14000.0,False
7000000.0,970.0,2,2.0,1.0,2.0,11.0,19.0,0.5789473684210527,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
3900000.0,660.0,1,1.0,1.0,2.0,8.0,11.0,0.7272727272727273,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
5500000.0,571.0,1,1.0,1.0,2.0,7.0,8.0,0.875,5983742.342391305,11238531.74308094,0,0,East,2500.0,False
6000000.0,750.0,2,2.0,1.0,2.0,7.0,8.0,0.875,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
3500000.0,363.0,1,2.0,2.0,3.0,9.0,9.0,1.0,5983742.342391305,11238531.74308094,0,0,East,2500.0,True
7000000.0,963.0,3,2.0,0.6666666666666666,2.0,3.0,3.0,1.0,5983742.342391305,6608333.333333333,0,0,East,2500.0,True
